"ElementsTableOfContentsItem href","sl-flex-1","sl-font-medium"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/k5xpc4jyhkom7-getting-started","Getting Started",""
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/nqo2td8g41hxd-error-handling","Error Handling",""
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/trif6mng3n2lz-cursor-based-pagination","Pagination",""
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/g79shx5w0y4l0-time-zones","Time Zones",""
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/qz3m9vxrt2ldw-utbms-codes","UTBMS Codes",""
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/pnfw9evvmyp8i-changelog","Changelog",""
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/4wtv3f4d5h7b9-calls","Calls",""
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/815dfaed26737-get-calls","Get Calls","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/c547c89dc353a-create-a-call","Create a Call","post"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/5e6d450a4bd58-update-an-individual-call","Update an Individual Call","put"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/2f426ef00a8e4-delete-an-individual-call","Delete an Individual Call","delete"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/rojx5b2lwhsz7-case-roles","Case Roles",""
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/b7b6bf2f613ea-get-case-roles","Get Case Roles","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/hbnd5ugqby7hf-cases","Cases",""
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/2c2d46374701c-get-cases","Get Cases","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/13119b40183ad-create-a-case","Create a Case","post"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/999662f9e0762-get-all-cases-for-a-client","Get All Cases for a Client","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/efca9db642ede-get-an-individual-case","Get an Individual Case","get"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/fcdffa8b1de8c-update-an-individual-case","Update an Individual Case","put"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/4af2083062b9a-delete-an-individual-case","Delete an Individual Case","delete"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/2231b17f9f2e9-create-a-client-relationship-for-a-case","Create a Client Relationship for a Case","post"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/c267104beec7f-create-a-company-relationship-for-a-case","Create a Company Relationship for a Case","post"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/be476c8739c2a-create-a-staff-relationship-for-a-case","Create a Staff Relationship for a Case","post"
"https://mycaseapi.stoplight.io/docs/mycase-api-documentation/08kdwqdulef3y-case-stages","Case Stages",""
